PlantName,PlantKey,Technology,City,State,ZipCode,Capacity_MW,Lat,Long,2023_CO2_Emissions,2023_NOX_Emissions,2023_SO2_Emissions,2023_CO2_Rate,2023_NOX_Rate,2023_SO2_Rate,FuelType,HeatRate_MBTU,2023_Net_Generation_Mwh
Channel Energy Center,89,Combined Cycle,Houston,TX,77012,824.0,29.719060,(95.232280),"2,276,892","365,824","21,956",118.8567,0.0095,0.0006,Gas,"10,434","3,917,523"
Astoria Energy II (AE2),12227,Combined Cycle,Astoria,NY,11105,612.0,40.781244,(73.898685),"1,755,572","164,566","17,831",119.0329,0.0056,0.0006,Gas,"7,211","3,912,039"
Caledonia Power Project,77,Combined Cycle,Steens,MS,39766,876.0,33.646270,(88.272280),"1,648,719","302,534","16,690",118.8575,0.0109,0.0006,Gas,"6,969","3,897,797"
L V Sutton CC,13195,Combined Cycle,Wilmington,NC,28401,719.0,34.283220,(77.986430),"1,637,883","1,141,670","13,204",118.8583,0.0414,0.0005,Gas,"7,193","3,888,404"
Seminole,6217,Steam Turbine,Palatka,FL,32177-8647,"1,279.0",29.733900,(81.632430),"4,141,339","2,407,968","6,365,549",205.1999,0.0597,0.1577,Coal,"10,699","3,887,784"
Great Prairie Wind Project,78738,Wind Turbine,Gruver,TX,79040,"1,027.0",36.363310,(101.516340),NA,NA,NA,NA,NA,NA,Wind,NA,"3,887,512"
Green Country Energy Project,174,Combined Cycle,Jenks,OK,74037,819.0,35.983272,(95.934224),"1,662,107","898,457","16,820",118.8573,0.0321,0.0006,Gas,"7,368","3,853,699"
Long Ridge Energy Generation Project (Hannibal CC Project),23107,Combined Cycle,Clarington,OH,43915,485.0,39.704150,(80.838250),"1,455,495","139,330","14,543",118.8570,0.0057,0.0006,Gas,"6,428","3,852,850"
Tenaska Virginia Generating,405,Combined Cycle,Palmyra,VA,22963,"1,013.7",37.866706,(78.380059),"1,684,195","208,313","17,365",118.9236,0.0074,0.0006,Gas,"7,215","3,845,221"
Priest Rapids,5695,Hydraulic Turbine,Mattawa,WA,99349,950.0,46.645720,(119.907400),NA,NA,NA,NA,NA,NA,Water,NA,"3,842,344"
Crystal River,2592,Steam Turbine,Crystal River,FL,34428,"1,442.0",28.966840,(82.696700),"4,235,844","3,524,787","7,030,993",205.2000,0.0854,0.1703,Coal,"10,977","3,828,944"
Buck CC,7793,Combined Cycle,Salisbury,NC,28146,718.0,35.707210,(80.375680),"1,607,244","239,324","16,204",118.8574,0.0088,0.0006,Gas,"7,104","3,819,419"
Coughlin Power Station (Evangeline),3034,Combined Cycle,Saint Landry,LA,71367,814.4,30.843860,(92.262200),"1,790,180","977,175","18,122",118.8576,0.0324,0.0006,Gas,"7,749","3,818,358"
Sabine,6045,Steam Turbine,Orange,TX,77630,"1,487.4",30.023170,(93.876550),"2,354,175","5,475,315","23,669",118.8583,0.1382,0.0006,Gas,"13,431","3,802,710"
South Houston Green Power GP2 (SHGP GP2),563,Combined Cycle,Texas City,TX,77590,570.0,29.377500,(94.932800),"2,631,604","470,183","118,591",118.8563,0.0106,0.0027,Gas,"11,641","3,784,842"
Elk Hills Power,138,Combined Cycle,McKittrick,CA,93251,549.0,35.280432,(119.470106),"1,437,675","170,813","14,559",118.8574,0.0071,0.0006,Gas,"7,184","3,775,457"
Thomas C Ferguson CC Project,15029,Combined Cycle,Horseshoe Bay,TX,78657,556.0,30.557485,(98.370496),"1,493,963","139,221","15,056",118.8567,0.0055,0.0006,Gas,"6,703","3,774,336"
Asheville CC,20883,Combined Cycle,Arden,NC,28704,560.0,35.466870,(82.542060),"1,501,738","633,706","15,087",118.8725,0.0251,0.0006,Gas,"6,645","3,744,892"
Ninemile,5108,Steam Turbine,Westwego,LA,70094,"1,498.0",29.947982,(90.147852),"2,289,360","8,837,928","23,136",118.8573,0.2294,0.0006,Gas,"10,697","3,737,774"
Ouachita Power,303,Combined Cycle,Sterlington,LA,71280,777.6,32.706111,(92.068333),"1,673,380","435,489","16,832",118.8581,0.0155,0.0006,Gas,"7,228","3,736,012"
Tracy CC,5549,Combined Cycle,Sparks,NV,89437,743.0,39.563550,(119.523190),"1,710,774","631,797","17,295",118.8576,0.0219,0.0006,Gas,"7,790","3,729,533"
Dan River CC,9609,Combined Cycle,Eden,NC,27288,720.0,36.490460,(79.721510),"1,612,624","826,199","11,297",118.8577,0.0304,0.0004,Gas,"7,076","3,729,478"
Plant Ratcliffe (Kemper County IGCC),9166,Combined Cycle,De Kalb,MS,39328,734.2,32.653960,(88.757480),"1,543,231","276,844","15,612",118.8574,0.0107,0.0006,Gas,"7,242","3,704,258"
Gallatin,3265,Steam Turbine,Gallatin,TN,37066,988.0,36.315720,(86.400500),"4,558,309","2,373,934","2,855,368",209.7601,0.0546,0.0657,Coal,"11,256","3,701,643"
Newark Energy Center,15417,Combined Cycle,Newark,NJ,07114,749.5,40.707340,(74.126060),"1,439,046","159,725","14,910",116.0372,0.0064,0.0006,Gas,"6,973","3,681,773"
Griffith Generating Station,175,Combined Cycle,Golden Valley,AZ,86413,570.0,35.053530,(114.133430),"1,580,277","237,054","15,928",118.8564,0.0089,0.0006,Gas,"7,241","3,670,670"
Altura Cogen,2410,Combined Cycle,Channelview,TX,77530,607.0,29.818455,(95.108299),"2,382,602","799,968","23,884",118.8586,0.0200,0.0006,Gas,"10,921","3,647,597"
Bonneville,1885,Hydraulic Turbine,Cascade Locks,OR,97014,"1,153.9",45.643163,(121.940882),NA,NA,NA,NA,NA,NA,Water,NA,"3,631,018"
Grays Harbor Energy Center,537,Combined Cycle,Elma,WA,98541,669.0,46.969170,(123.480000),"1,539,149","179,934","20,516",118.8571,0.0069,0.0008,Gas,"7,621","3,618,169"
Louisa,4451,Steam Turbine,Muscatine,IA,52761,746.9,41.317537,(91.093354),"4,029,216","6,799,982","12,004,563",209.7601,0.1770,0.3125,Coal,"10,581","3,612,095"
Rhode Island State Energy Center,205,Combined Cycle,Johnston,RI,02919,615.0,41.802327,(71.518233),"1,499,641","144,395","15,148",118.8575,0.0057,0.0006,Gas,"7,193","3,600,346"
Marshalltown Generating Station,16213,Combined Cycle,Marshalltown,IA,50158,699.5,42.041480,(92.870850),"1,579,186","202,254","15,987",118.8578,0.0076,0.0006,Gas,"6,586","3,581,982"
South Oak Creek,6408,Steam Turbine,Racine,WI,53402,"1,122.2",42.841990,(87.828780),"4,333,214","2,692,264","232,229",209.6612,0.0651,0.0056,Coal,"10,557","3,581,721"
Welsh,7211,Steam Turbine,Pittsburg,TX,75686,"1,000.0",33.055730,(94.842590),"4,372,159","8,033,563","18,991,348",209.7601,0.1927,0.4556,Coal,"11,572","3,579,333"
Luna Energy Facility,486,Combined Cycle,Deming,NM,88030,611.0,32.299296,(107.783187),"1,487,142","261,962","15,052",118.8574,0.0105,0.0006,Gas,"7,424","3,576,285"
White Bluff,7301,Steam Turbine,Redfield,AR,72132,"1,650.0",34.423452,(92.139190),"4,349,900","6,371,995","19,034,467",209.6729,0.1536,0.4587,Coal,"11,112","3,560,853"
Stanton CC,300,Combined Cycle,Orlando,FL,32825,657.0,28.488080,(81.167030),"1,465,828","288,023","14,766",118.8570,0.0117,0.0006,Gas,"7,193","3,546,362"
Riverside Energy Center,20,Combined Cycle,Beloit,WI,53511,588.6,42.583260,(89.035980),"1,448,650","138,782","14,601",118.8574,0.0057,0.0006,Gas,"6,742","3,543,044"
Dave Johnston,2663,Steam Turbine,Glenrock,WY,82637,755.0,42.838030,(105.776580),"4,556,987","8,673,156","11,000,852",209.7596,0.1996,0.2532,Coal,"12,030","3,537,397"
Chattahoochee,852,Combined Cycle,Franklin,GA,30217,526.0,33.407100,(85.038445),"1,443,328","225,554","14,538",118.8570,0.0093,0.0006,Gas,"6,881","3,533,099"
Mount Storm,4946,Steam Turbine,Mount Storm,WV,26739,"1,676.0",39.200895,(79.265119),"3,890,897","2,751,473","4,113,259",205.2001,0.0726,0.1085,Coal,"11,018","3,519,269"
Wells,7207,Hydraulic Turbine,Chelan,WA,98816,862.4,47.947110,(119.865134),NA,NA,NA,NA,NA,NA,Water,NA,"3,498,318"
Arlington Valley Energy,35,Combined Cycle,Arlington,AZ,85354,580.0,33.341123,(112.888856),"1,526,403","208,700","15,451",118.8568,0.0081,0.0006,Gas,"7,319","3,496,839"
Milford Power,269,Combined Cycle,Milford,CT,06461,585.3,41.224124,(73.099176),"1,570,267","187,735","15,840",118.8568,0.0071,0.0006,Gas,"7,447","3,496,475"
CPV Three Rivers Energy Center,21879,Combined Cycle,Morris,IL,60450,"1,250.0",41.371380,(88.283390),NA,NA,NA,NA,NA,NA,Gas,"5,727","3,447,283"
Bonanza,1883,Steam Turbine,Vernal,UT,84078,458.0,40.086357,(109.285247),"3,865,499","9,547,729","1,227,739",205.1999,0.2534,0.0326,Coal,"10,351","3,446,224"
Weston,7266,Steam Turbine,Mosinee,WI,54455,898.3,44.857760,(89.650220),"3,262,253","1,828,301","1,057,033",209.4966,0.0587,0.0339,Coal,"9,627","3,430,829"
Zeeland Power Project,467,Combined Cycle,Zeeland,MI,49464,566.7,42.820678,(85.998062),"1,540,253","278,141","15,564",118.8573,0.0107,0.0006,Gas,"7,213","3,417,476"
Eugene W. Zeltmann Power Project,326,Combined Cycle,New York,NY,11105,581.0,40.788852,(73.906918),"1,413,437","153,850","14,318",119.0033,0.0065,0.0006,Gas,"7,155","3,404,623"
Huntington,3798,Steam Turbine,Huntington,UT,84528,909.0,39.379016,(111.079500),"4,058,301","7,597,684","2,114,273",205.2001,0.1921,0.0535,Coal,"10,549","3,400,881"
E.C. Gaston,2855,Steam Turbine,Wilsonville,AL,35186-1127,"1,852.0",33.244036,(86.457410),"3,277,172","4,637,525","1,695,342",166.9089,0.1181,0.0432,Gas,"10,875","3,399,657"
Plum Point Energy,560,Steam Turbine,Osceola,AR,72370,680.0,35.664000,(89.946000),"3,692,584","2,627,347","4,590,039",209.7120,0.0746,0.1303,Coal,"10,164","3,381,761"
Magnet Cove (Hot Spring Power Project),956,Combined Cycle,Malvern,AR,72104,701.3,34.430576,(92.832456),"1,392,160","300,579","14,054",118.8572,0.0128,0.0006,Gas,"6,849","3,377,782"
Kings Mountain Energy Center,19014,Combined Cycle,Kings Mountain,NC,28086,532.0,35.199020,(81.361130),"1,362,850","148,674","13,761",118.8572,0.0065,0.0006,Gas,"6,798","3,377,702"
AMP Fremont Energy Center,154,Combined Cycle,Fremont,OH,43420,685.1,41.377209,(83.162169),"1,406,827","235,568","14,203",118.8574,0.0100,0.0006,Gas,"7,417","3,372,146"
John S Rainey CC,923,Combined Cycle,Iva,SC,29655,530.0,34.347719,(82.776355),"1,410,725","367,163","14,279",118.8573,0.0155,0.0006,Gas,"7,133","3,365,368"
Glen Canyon,3356,Hydraulic Turbine,Marble Canyon,AZ,86036,"1,312.0",36.937120,(111.484355),NA,NA,NA,NA,NA,NA,Water,NA,"3,363,155"
