PlantName,PlantKey,Technology,City,State,ZipCode,Capacity_MW,Lat,Long,2023_CO2_Emissions,2023_NOX_Emissions,2023_SO2_Emissions,2023_CO2_Rate,2023_NOX_Rate,2023_SO2_Rate,FuelType,HeatRate_MBTU,2023_Net_Generation_Mwh
(3K) 59 Hetcheltown Road Solar Project,122263,Solar,Schenectady,NY,12302,5.0,42.870990,(73.904610),NA,NA,NA,NA,NA,NA,Solar,NA,NA
0 Hammond Street  Battery Storage,107643,Battery,Carver,MA,02330,5.0,41.804520,(70.722980),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
0 Hammond Street Solar Project,74309,Solar,Carver,MA,02330,4.8,41.804520,(70.722980),NA,NA,NA,NA,NA,NA,Solar,NA,NA
10 Briggs Solar NG Project,26688,Solar,East Greenwich,RI,02818,5.0,41.632820,(71.496150),NA,NA,NA,NA,NA,NA,Solar,NA,NA
100 Brook Hill Drive Solar Plant,57559,Solar,West Nyack,NY,10994,1.5,41.092230,(73.982940),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1001 Ebenezer Church Solar Project,55820,Solar,Elkin,NC,28621,5.0,36.282750,(80.842860),NA,NA,NA,NA,NA,NA,Solar,NA,NA
101 Carnegie Center Solar Project,58961,Solar,Princeton,NJ,08540,1.2,40.323120,(74.645120),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1045 Tomlin Mill Solar,22602,Solar,Statesville,NC,28625,4.9,35.923040,(80.839780),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1051 Lucky Solar Project,62108,Solar,Hamptonville,NC,27020,3.0,36.149620,(80.818240),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1073 Onslow Solar Plant,57833,Solar,Hubert,NC,28539,4.7,34.773360,(77.185820),NA,NA,NA,NA,NA,NA,Solar,NA,NA
115 G Fisher Solar Plant,97040,Solar,Middleboro,MA,02346,1.0,41.868980,(70.839500),NA,NA,NA,NA,NA,NA,Solar,NA,NA
12 Applegate Solar Farm,17895,Solar,Robbinsville,NJ,08691-2342,1.9,40.200340,(74.576590),NA,NA,NA,NA,NA,NA,Solar,NA,NA
126 Grove Solar Project,23765,Solar,Franklin,MA,02038,2.0,42.075170,(71.420140),NA,NA,NA,NA,NA,NA,Solar,NA,NA
13 Mile Solar Project,73963,Solar,Battle Creek,MI,,2.0,42.246528,(85.005554),NA,NA,NA,NA,NA,NA,Solar,NA,NA
13 York Farm Road Solar Project,122387,Solar,Augusta,ME,04330,1.0,44.329120,(69.819250),NA,NA,NA,NA,NA,NA,Solar,NA,NA
145 Talmadge Solar,16051,Solar,Edison,NJ,08817,3.8,40.534510,(74.393272),NA,NA,NA,NA,NA,NA,Solar,NA,NA
147 Williamsville Road Facility (Williamsville Hybrid),55955,Solar,Hubbardston,MA,01452,5.0,42.469100,(72.068690),NA,NA,NA,NA,NA,NA,Solar,NA,NA
147 Williamsville Road Facility (Williamsville Hybrid) Battery Storage Plant,107374,Battery,Hubbardston,MA,01452,3.3,42.469100,(72.068690),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
14A Solar Farm,68627,Solar,Penn Yan,NY,14527,5.0,42.741200,(77.075560),NA,NA,NA,NA,NA,NA,Solar,NA,NA
150 Mile House ERG Project,9294,Steam Turbine,150 Mile House,,,5.0,52.106943,(121.924236),NA,NA,NA,NA,NA,NA,Other,NA,NA
154 D Fisher Solar Project,97043,Solar,Middleboro,MA,02346,1.0,41.872810,(70.843770),NA,NA,NA,NA,NA,NA,Solar,NA,NA
160 Tihonet Road Battery Storage Project,107656,Battery,Wareham,MA,02571,3.3,41.800300,(70.704030),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
160 Tihonet Road Solar Project,74425,Solar,Wareham,MA,02571,5.0,41.800300,(70.704030),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1634 Solar Project,24951,Solar,Hartsville,SC,29550,2.0,34.337700,(80.081610),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1639 RT 29 Solar 2 Project,99913,Solar,Johnstown,NY,12095,2.5,43.040800,(74.244630),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1639 RT 29 System B Solar Project,99915,Solar,Gloversville,NY,12095,4.0,43.042530,(74.250630),NA,NA,NA,NA,NA,NA,Solar,NA,NA
180 Raritan Solar,18619,Solar,Edison,NJ,08837,1.9,40.515283,(74.338020),NA,NA,NA,NA,NA,NA,Solar,NA,NA
191 Peachtree Tower,1254,Internal Combustion,Atlanta,GA,30303,2.4,33.758890,(84.386905),NA,NA,NA,NA,NA,NA,Oil,NA,NA
196 Tremont Battery Storage Project,107664,Battery,Carver,MA,02330-1600,1.5,41.848770,(70.727910),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
196 Tremont Project,74628,Solar,Carver,MA,02330-1600,1.5,41.848770,(70.727910),NA,NA,NA,NA,NA,NA,Solar,NA,NA
19th Hole Solar Project,68808,Solar,Johnstown,NY,12095,7.7,42.986970,(74.311530),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20003 Hardin Solar Generating Facility (Panda Solar NC 2),25233,Solar,Fairmont,NC,28340,2.0,34.438840,(79.084500),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20007 Hair Solar Generating Facility (Panda Solar NC 5),25307,Solar,Fayetteville,NC,28312,1.0,35.046700,(78.810540),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20009 Priest Solar Generating Facility (Panda Solar NC 4),25302,Solar,Council,NC,28434,2.0,34.518070,(78.524180),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20011 Hardin Solar Generating Facility (Panda Solar NC 3),25306,Solar,Lumberton,NC,28360,2.0,34.631810,(79.090670),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20022 Barker Solar Generating Facility (Panda Solar NC 9 Project),24776,Solar,Hope Mills,NC,28348,2.0,34.910580,(78.915660),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20028 Goins Solar Generating Facility (Panda Solar NC 6),25303,Solar,Chadbourn,NC,28431,1.0,34.352760,(78.788340),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20031 Barker Solar Generating Facility (Panda Solar NC 10 Project),24836,Solar,Hope Mills,NC,28348,2.0,34.909980,(78.912780),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20032 Barker Solar Generating Facility (Panda Solar NC 11 Project),24834,Solar,Hope Mills,NC,28348,2.0,34.909250,(78.912750),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20038 Elaine Jordan Solar Generating Facility (Panda Solar NC 7),25304,Solar,Faison,NC,28341,1.5,35.121580,(78.204290),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20052 Dabestani Solar Generating Facility (Panda Solar NC 8),25353,Solar,Robbins,NC,27325-7806,2.0,35.420970,(79.705330),NA,NA,NA,NA,NA,NA,Solar,NA,NA
200th Red Horse Squadron- Camp Perry,13401,Solar,Port Clinton,OH,43452,0.2,41.531610,(83.019460),NA,NA,NA,NA,NA,NA,Solar,NA,NA
201 Sturbridge B,21560,Solar,Brimfield,MA,01010,2.0,42.120970,(72.171880),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20333 Normandie Solar Project,78605,Solar,Torrance,CA,90501,2.6,33.846590,(118.299620),NA,NA,NA,NA,NA,NA,Solar,NA,NA
205 Sturbridge A Solar,21559,Solar,Brimfield,MA,01010,3.0,42.119040,(72.168010),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2056 Jardine Solar Plant,21375,Solar,Paso Robles,CA,93446-8713,1.0,35.650200,(120.719520),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20701 Plummer PV Solar Project,110169,Solar,Chatsworth,CA,91311,1.9,34.243490,(118.585200),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2081 Terzian Solar Project,19251,Solar,Reedley,CA,93654,1.2,36.670930,(119.414220),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2097 Helton Solar Project,19383,Solar,Merced,CA,95348-9214,1.5,37.351420,(120.507480),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2102 Christensen Solar Plant,21370,Solar,Del Rey,CA,93616-9734,1.0,36.652770,(119.572750),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2127 Harris Solar Project,19222,Solar,Live Oak,CA,95953,1.3,39.291730,(121.669310),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2176047 (Brockville 1) Solar Energy Project,16583,Solar,Brockville,,,10.0,44.631562,(75.696898),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2176050 Solar Energy Project (Brockville 2),16581,Solar,Elizabethtown-Kitley,,,9.0,44.630810,(75.804698),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2184 Gruber PV Solar Generation Facility,21344,Solar,Orland,CA,95963,1.5,39.699240,(122.175600),NA,NA,NA,NA,NA,NA,Solar,NA,NA
231 Dixon 74 Solar I Project,20832,Solar,Kings Mountain,NC,28086,2.0,35.244490,(81.430130),NA,NA,NA,NA,NA,NA,Solar,NA,NA
232 Long Branch 29 Solar I (Lafayette Solar Farm),20494,Solar,Shelby,NC,28152,2.0,35.230900,(81.565310),NA,NA,NA,NA,NA,NA,Solar,NA,NA
233 Randolph 74 Solar I Project,20869,Solar,Shelby,NC,28150,2.0,35.311780,(81.591480),NA,NA,NA,NA,NA,NA,Solar,NA,NA
24 Applegate Solar Plant,19236,Solar,Robbinsville,NJ,08691-2342,4.9,40.205360,(74.580180),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2555 East Olympic Boulevard Solar Plant,18495,Solar,Los Angeles,CA,90023-2605,1.0,34.027630,(118.224153),NA,NA,NA,NA,NA,NA,Solar,NA,NA
255S Vulcan Faribault Farms,23255,Solar,Vulcan,,,25.0,50.362590,(113.227370),NA,NA,NA,NA,NA,NA,Solar,NA,NA
26 Huntington Road Solar Project,22668,Solar,Hadley,MA,01035,1.0,42.368700,(72.579250),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2662 Freeport Solar 1 Project,58986,Solar,Freeport,IL,61032,2.0,42.339320,(89.636300),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2734 Elm Street-Dighton Solar Project,73917,Solar,Dighton,MA,,2.8,41.796564,(71.113410),NA,NA,NA,NA,NA,NA,Solar,NA,NA
275S Jenner Solar Project,23213,Solar,Jenner,,,23.0,50.748170,(111.124920),NA,NA,NA,NA,NA,NA,Solar,NA,NA
276 Federal Road  Battery Storage,107635,Battery,Carver,MA,02330,3.3,41.807090,(70.732600),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
276 Federal Road Solar Project,74264,Solar,Carver,MA,02330,5.0,41.807090,(70.732600),NA,NA,NA,NA,NA,NA,Solar,NA,NA
28 Livermore Hill Road Solar,57986,Solar,Westminster,MA,01473,5.0,42.551770,(71.950680),NA,NA,NA,NA,NA,NA,Solar,NA,NA
299 Farm To Market Road Battery Energy Storage System,107654,Battery,Wareham,MA,02571,2.3,41.799790,(70.725470),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
299 Farm To Market Road Solar Project,74423,Solar,Wareham,MA,02571,3.0,41.799790,(70.725470),NA,NA,NA,NA,NA,NA,Solar,NA,NA
3 Colton Solar Plant,121992,Solar,Millbury,MA,01527,3.4,42.207470,(71.740200),NA,NA,NA,NA,NA,NA,Solar,NA,NA
301 Chestnut Solar NG Project,24154,Solar,East Longmeadow,MA,01028,2.0,42.055390,(72.521190),NA,NA,NA,NA,NA,NA,Solar,NA,NA
3104 West Main Street Solar (3104 Batavia Solar),121838,Solar,Batavia,NY,14020,3.0,42.996360,(78.276000),NA,NA,NA,NA,NA,NA,Solar,NA,NA
311 Shoemaker Lane Solar Project,74995,Solar,Agawam,MA,01001,5.0,42.043450,(72.656360),NA,NA,NA,NA,NA,NA,Solar,NA,NA
3200 Wildwood Plaza,1259,Internal Combustion,Atlanta,GA,30339,1.0,33.913580,(84.461230),NA,NA,NA,NA,NA,NA,Oil,NA,NA
3232 Batavia Solar Project,121919,Solar,Batavia,NY,14020,4.0,42.999370,(78.267780),NA,NA,NA,NA,NA,NA,Solar,NA,NA
33 East 85-B,1261,Wind Turbine,Mojave,CA,93501,25.2,35.102600,(118.332490),NA,NA,NA,NA,NA,NA,Wind,NA,NA
350 Clark Solar,23749,Solar,Budd Lake,NJ,07828,1.8,40.894200,(74.730220),NA,NA,NA,NA,NA,NA,Solar,NA,NA
36 Milford Street Solar Facility,22662,Solar,Mendon,MA,01756,1.4,42.114980,(71.550020),NA,NA,NA,NA,NA,NA,Solar,NA,NA
363 Quaker Highway Solar Project,22666,Solar,Uxbridge,MA,01569,3.9,42.048410,(71.624370),NA,NA,NA,NA,NA,NA,Solar,NA,NA
368S Burdett DER Solar Project,29386,Solar,Burdett,,,15.0,49.819610,(111.543740),NA,NA,NA,NA,NA,NA,Solar,NA,NA
371 Hoes Lane Solar Project,122126,Solar,Piscataway,NJ,08854,1.3,40.546040,(74.473470),NA,NA,NA,NA,NA,NA,Solar,NA,NA
3M Central Utility,1262,Steam Turbine,Austin,TX,78726,2.3,30.397480,(97.842810),NA,NA,NA,NA,NA,NA,Gas,NA,NA
3M Central Utility IC,9709,Internal Combustion,Austin,TX,78726,6.6,30.397480,(97.842810),NA,NA,NA,NA,NA,NA,Gas,NA,NA
4 Applegate Solar Plant,17896,Solar,Robbinsville,NJ,08691-2342,1.4,40.196525,(74.583210),NA,NA,NA,NA,NA,NA,Solar,NA,NA
42nd Road Solar Project,85275,Solar,Mendota,IL,61342,2.0,41.541570,(89.147990),NA,NA,NA,NA,NA,NA,Solar,NA,NA
433 Purchase Solar NG Project,23857,Solar,Swansea,MA,02777,2.8,41.807640,(71.184630),NA,NA,NA,NA,NA,NA,Solar,NA,NA
435-A Bergen Avenue Solar Project,50833,Solar,Kearny,NJ,07032,1.4,40.751940,(74.131260),NA,NA,NA,NA,NA,NA,Solar,NA,NA
45 Mile Hydroelectric Power Plant,18758,Hydraulic Turbine,Culver,OR,97734,3.0,44.527977,(121.152724),NA,NA,NA,NA,NA,NA,Water,NA,NA
46 Meadowlands Parkway Solar Farm,25572,Solar,Secaucus,NJ,07094-2900,1.5,40.789760,(74.071520),NA,NA,NA,NA,NA,NA,Solar,NA,NA
4710 Hosting Internal Combustion,39634,Internal Combustion,Rochester,MN,55901,5.0,44.070930,(92.522300),NA,NA,NA,NA,NA,NA,Oil,NA,NA
491 East 48th Street,1264,Gas Turbine,Holland,MI,49423,161.5,42.756100,(86.085141),NA,NA,NA,NA,NA,NA,Gas,NA,NA
5 Points Abilene Plant,19668,Gas Turbine,Abilene,TX,79603,10.0,32.458590,(99.815890),NA,NA,NA,NA,NA,NA,Oil,NA,NA
500 Virginia Solar,16060,Solar,Fort Washington,PA,19034,1.0,40.138969,(75.191456),NA,NA,NA,NA,NA,NA,Solar,NA,NA
510 Carnegie Center Facility,68821,Solar,Princeton,NJ,08540,1.4,40.314600,(74.656420),NA,NA,NA,NA,NA,NA,Solar,NA,NA
510 REPP One Solar Project,15164,Solar,Garysburg,NC,27831,1.3,36.497830,(77.607430),NA,NA,NA,NA,NA,NA,Solar,NA,NA
5601 Westside Avenue Solar Project,78612,Solar,North Bergen,NJ,07047,1.5,40.794770,(74.032920),NA,NA,NA,NA,NA,NA,Solar,NA,NA
580 River Solar,96945,Solar,Winchendon,MA,01475-1602,3.1,42.681760,(72.076340),NA,NA,NA,NA,NA,NA,Solar,NA,NA
59 Federal Road Battery Energy Storage System,107652,Battery,Carver,MA,02330,5.0,41.830070,(70.723350),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
59 Federal Road Solar Project,74419,Solar,Carver,MA,02330,5.0,41.830070,(70.723350),NA,NA,NA,NA,NA,NA,Solar,NA,NA
59th Street CT,1268,Gas Turbine,New York,NY,10019,16.1,40.771330,(73.991060),NA,NA,NA,NA,NA,NA,Gas,NA,NA
6000 Holabird Solar Plant,122005,Solar,Baltimore,MD,21224,1.5,39.273680,(76.544400),NA,NA,NA,NA,NA,NA,Solar,NA,NA
601 Doremus CDG Solar Plant,78603,Solar,Newark,NJ,07105,1.5,40.716850,(74.132530),NA,NA,NA,NA,NA,NA,Solar,NA,NA
631 Owner Turbine(Lightolier),10435,Wind Turbine,Fall River,MA,02720,2.0,41.747208,(71.116532),NA,NA,NA,NA,NA,NA,Wind,NA,NA
6th St Solar Park,16104,Solar,Gainesville,FL,32609,1.6,29.701340,(82.336860),NA,NA,NA,NA,NA,NA,Solar,NA,NA
701 Carnegie Center Facility,68820,Solar,Princeton,NJ,08540-6242,1.1,40.324550,(74.650150),NA,NA,NA,NA,NA,NA,Solar,NA,NA
71 Charlotte Furnace Road Battery Storage Project,107655,Battery,West Wareham,MA,02576,1.0,41.801480,(70.743930),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
71 Charlotte Furnace Road Project,74424,Solar,West Wareham,MA,02576,1.0,41.801480,(70.743930),NA,NA,NA,NA,NA,NA,Solar,NA,NA
71R Wind Project,23815,Wind Turbine,Martinsdale,MT,59053,2.7,46.429140,(110.366110),NA,NA,NA,NA,NA,NA,Wind,NA,NA
7448 Candlewood Road Plant,73978,Solar,Hanover,MD,21076-3107,1.5,39.168416,(76.722469),NA,NA,NA,NA,NA,NA,Solar,NA,NA
74th Street CT,1270,Gas Turbine,New York,NY,10021,43.6,40.768105,(73.950750),NA,NA,NA,NA,NA,NA,Oil,NA,NA
77 Farm to Market Road Battery Storage Project,107657,Battery,Wareham,MA,02571,2.2,41.792000,(70.724000),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
77 Farm to Market Road Solar Project,74428,Solar,Wareham,MA,02571,5.0,41.792000,(70.724000),NA,NA,NA,NA,NA,NA,Solar,NA,NA
77 Metro Way Solar Project,25566,Solar,Secaucus,NJ,07094,1.0,40.770320,(74.072260),NA,NA,NA,NA,NA,NA,Solar,NA,NA
7v Solar Ranch Project,54508,Solar,Muldoon,TX,78949,240.0,29.806980,(97.074080),NA,NA,NA,NA,NA,NA,Solar,NA,NA
85 A Wind Project,106300,Wind Turbine,Mojave,CA,93501,21.3,35.095800,(118.324520),NA,NA,NA,NA,NA,NA,Wind,NA,NA
8501 Westside Avenue Solar Project,17364,Solar,North Bergen,NJ,07047,0.9,40.801307,(74.026595),NA,NA,NA,NA,NA,NA,Solar,NA,NA
895S Suffield Solar Project,23228,Solar,Ralston,,,23.0,50.268530,(111.277080),NA,NA,NA,NA,NA,NA,Solar,NA,NA
98th Street Battery Storage Station,43286,Battery,Ozone Park,NY,11417,1.8,40.679310,(73.839880),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
99 Islands,1272,Hydraulic Turbine,Blacksburg,SC,29702,12.0,35.031762,(81.493302),NA,NA,NA,NA,NA,NA,Water,NA,NA
A Street 2 Solar Project,68807,Solar,Johnston,RI,02919,1.6,41.796720,(71.544850),NA,NA,NA,NA,NA,NA,Solar,NA,NA
A Street Solar Project,39580,Solar,Johnston,RI,02919,3.8,41.796990,(71.544820),NA,NA,NA,NA,NA,NA,Solar,NA,NA
A.G. Wishon,1278,Hydraulic Turbine,North Fork,CA,93643,20.0,37.151090,(119.504736),NA,NA,NA,NA,NA,NA,Water,NA,NA
A.J. Mihm Generating Station,22846,Internal Combustion,Pelkie,MI,49958,56.5,46.793510,(88.616590),NA,NA,NA,NA,NA,NA,Gas,NA,NA
A.W. Hoch / Del Ranch,1279,Geothermal,Calipatria,CA,92233,49.0,33.164813,(115.616062),NA,NA,NA,NA,NA,NA,Geothermal,NA,NA
ABB Flywheel Storage Project,22170,Mechanical Storage,Kodiak,AK,99615,2.0,57.780110,(152.443950),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
Abbot Solar Project,24912,Solar,Manning,SC,29102,2.0,33.678360,(80.240290),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Abbott,1280,Steam Turbine,Champaign,IL,61820,54.3,40.104755,(88.242005),NA,NA,NA,NA,NA,NA,Gas,NA,NA
Abbott CT,7749,Gas Turbine,Champaign,IL,61820,30.0,40.104755,(88.242005),NA,NA,NA,NA,NA,NA,Gas,NA,NA
Abbott TP 3,1281,Hydraulic Turbine,McQueeney,TX,78123,2.8,29.594060,(98.040650),NA,NA,NA,NA,NA,NA,Water,NA,NA
ABC Coke,9454,Steam Turbine,Birmingham,AL,35217,3.8,33.582630,(86.779200),NA,NA,NA,NA,NA,NA,Other,NA,NA
ABD Farm,19703,Solar,Asheboro,NC,27203,5.0,35.731720,(79.748000),NA,NA,NA,NA,NA,NA,Solar,NA,NA
ABE4 Solar Project,59391,Solar,Easton,PA,,3.0,40.754239,(75.307418),NA,NA,NA,NA,NA,NA,Solar,NA,NA
ABEC #2 Project (West Star Dairy),23958,Internal Combustion,Buttonwillow,CA,93206,1.0,35.473250,(119.433650),NA,NA,NA,NA,NA,NA,Biomass,NA,NA
ABEC #3 Project (Lakeview Dairy),23957,Internal Combustion,Bakersfield,CA,93311,1.0,35.214370,(119.202950),NA,NA,NA,NA,NA,NA,Biomass,NA,NA
ABEC #4 Biomass Power Plant,23962,Internal Combustion,Bakersfield,CA,93311,1.0,35.177450,(119.121430),NA,NA,NA,NA,NA,NA,Biomass,NA,NA
ABEC Bidart-Old River Project,18044,Internal Combustion,Bakersfield,CA,93313,1.8,35.170309,(119.108128),NA,NA,NA,NA,NA,NA,Biomass,NA,NA
Abel Road Bioenergy Project (ACC Renewable),91800,Other,Williams,CA,95987,3.0,39.145870,(122.118490),NA,NA,NA,NA,NA,NA,Biomass,NA,NA
Abenaquis,8794,Hydraulic Turbine,Sherbrooke,,,2.8,45.405180,(71.893230),NA,NA,NA,NA,NA,NA,Water,NA,NA
Abercrombie Point,8602,Steam Turbine,Pictou,,,25.0,45.652760,(62.716790),NA,NA,NA,NA,NA,NA,Biomass,NA,NA
Aberdeen,1282,Gas Turbine,Aberdeen,SD,57401,88.0,45.428390,(98.493140),NA,NA,NA,NA,NA,NA,Gas,NA,NA
Aberfeldie Hydro Redevelopment,13741,Hydraulic Turbine,Wardner,,,24.0,49.493480,(115.362500),NA,NA,NA,NA,NA,NA,Water,NA,NA
Abiquiu Dam,1286,Hydraulic Turbine,Abiquiu,NM,87510,16.8,36.239850,(106.423130),NA,NA,NA,NA,NA,NA,Water,NA,NA
Abitibi Canyon,8153,Hydraulic Turbine,Fraserdale,,,350.0,49.882070,(81.567120),NA,NA,NA,NA,NA,NA,Water,NA,NA
AC Criminal Courts Complex SPE2 Solar Project,17767,Solar,Mays Landing,NJ,08330,1.3,39.437500,(74.690560),NA,NA,NA,NA,NA,NA,Solar,NA,NA
AC Power 1 Solar Project,58938,Solar,Riverside,NJ,08075,1.3,40.049780,(74.935170),NA,NA,NA,NA,NA,NA,Solar,NA,NA
ACCC Mays Landing Solar Project,23809,Solar,Mays Landing,NJ,08330,1.4,39.460140,(74.681880),NA,NA,NA,NA,NA,NA,Solar,NA,NA
ACE Solar Project,24950,Solar,Piedmont,SC,29673,1.0,34.722880,(82.525800),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Achilles Solar Plant,43246,Solar,Troy,NC,27371,4.9,35.358040,(79.910000),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Acme Solar Project,63206,Solar,Riegelwood,NC,28456,4.9,34.323550,(78.198930),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Acorn I Battery Storage Project,43248,Battery,Newbury Park,CA,91320,2.0,34.196130,(118.931740),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
Acorn Solar Project,114963,Solar,Harrisonburg,VA,22802,1.4,38.471550,(78.859160),NA,NA,NA,NA,NA,NA,Solar,NA,NA
ACS Crookston,1289,Steam Turbine,Crookston,MN,56716,6.5,47.764260,(96.633521),NA,NA,NA,NA,NA,NA,Coal,NA,NA
ACS Drayton,1290,Steam Turbine,Drayton,ND,58225,6.0,48.593139,(97.176048),NA,NA,NA,NA,NA,NA,Coal,NA,NA
ACS East Grand Forks,1291,Steam Turbine,East Grand Forks,MN,56721,7.5,47.927112,(97.007303),NA,NA,NA,NA,NA,NA,Coal,NA,NA
ACS Hillsboro,1292,Steam Turbine,Hillsboro,ND,58045,13.3,47.437813,(97.063228),NA,NA,NA,NA,NA,NA,Coal,NA,NA
ACS Moorhead,1293,Steam Turbine,Moorhead,MN,56560,5.0,46.901230,(96.761240),NA,NA,NA,NA,NA,NA,Coal,NA,NA
Acton H Road Solar 1 Project,68516,Solar,Acton,ME,04001,3.5,43.545940,(70.909010),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Acton Solar Landfill Project,21587,Solar,Acton,MA,01720,1.5,42.472850,(71.430310),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Acushnet - Braley Road 1,19813,Solar,Freetown,MA,02717,1.9,41.751630,(70.967240),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Acushnet – Hawes,18334,Solar,Dartmouth,MA,02747-5327,1.0,41.662161,(71.041889),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Acushnet - High Hill Road,19841,Solar,Dartmouth,MA,02747,3.2,41.713560,(70.987710),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Acushnet Ball Battery Storage Plant 2,23950,Battery,New Bedford,MA,02745,1.5,41.719700,(70.971380),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
Acushnet MA 1 Solar Project,74250,Solar,Acushnet,MA,02743,1.0,41.697000,(70.903000),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Acushnet-ADM Solar Plant,18335,Solar,West Wareham,MA,02576,4.7,41.799797,(70.743500),NA,NA,NA,NA,NA,NA,Solar,NA,NA
ACV Airport Microgrid (Redwood) Battery Storage Project,107293,Battery,McKinleyville,CA,95519,2.0,40.967490,(124.104520),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
ACV Airport Microgrid Project (Redwood),46368,Solar,McKinleyville,CA,95519,2.3,40.967490,(124.104520),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Ada Cogeneration,1294,Combined Cycle,Ada,MI,49301-0001,32.0,42.962439,(85.494062),NA,NA,NA,NA,NA,NA,Gas,NA,NA
Ada Dam,1295,Hydraulic Turbine,Ada,MI,49301,1.4,42.950622,(85.485987),NA,NA,NA,NA,NA,NA,Water,NA,NA
Adair Wind Farm,11576,Wind Turbine,Adair,IA,50002,174.8,41.423611,(94.665000),NA,NA,NA,NA,NA,NA,Wind,NA,NA
Adam Cunningham,8638,Hydraulic Turbine,Saint-David-de-Falardeau,,,7.0,48.658120,(71.170810),NA,NA,NA,NA,NA,NA,Water,NA,NA
Adam Wind (GSG 3),17152,Wind Turbine,Sublette,IL,61367,5.0,41.660310,(89.249700),NA,NA,NA,NA,NA,NA,Wind,NA,NA
Adams Ave MS and HS Solar Farm,23822,Solar,Egg Harbor Township,NJ,,3.1,39.410290,(74.531710),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Adams Community Solar Garden II,23690,Solar,Watkins,CO,80137,1.5,39.788770,(104.585400),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Adams Community Solar Garden III,21050,Solar,Watkins,CO,80137,1.2,39.789080,(104.589280),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Adams Community Solar Gardens,21052,Solar,Watkins,CO,80137,1.2,39.788000,(104.588000),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Adams Community Solar Project,20151,Solar,Adams,MA,01220,1.0,42.635970,(73.099160),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Adams Farm Solar,17109,Solar,Athol,MA,01331,3.0,42.595900,(72.201400),NA,NA,NA,NA,NA,NA,Solar,NA,NA
Adams Solar Center,20266,Solar,Madras,OR,97741,10.0,44.675000,(121.122000),NA,NA,NA,NA,NA,NA,Solar,NA,NA
